"filename", "language", "Markdown", "vue", "TypeScript", "comment", "blank", "total"
"d:\desktop\SchoolPeople_Manage-master\README.md", "Markdown", -39, 0, 0, 0, -16, -55
"d:\desktop\SchoolPeople_Manage-master\components.d.ts", "TypeScript", 0, 0, 2, 0, 0, 2
"d:\desktop\SchoolPeople_Manage-master\src\components\header.vue", "vue", 0, 4, 0, 0, 1, 5
"d:\desktop\SchoolPeople_Manage-master\src\components\sidebar.vue", "vue", 0, -21, 0, 0, 4, -17
"d:\desktop\SchoolPeople_Manage-master\src\router\index.ts", "TypeScript", 0, 0, -7, 0, 0, -7
"d:\desktop\SchoolPeople_Manage-master\src\views\dashboard.vue", "vue", 0, -4, 0, 0, 0, -4
"d:\desktop\SchoolPeople_Manage-master\src\views\donate.vue", "vue", 0, -12, 0, 0, -3, -15
"d:\desktop\SchoolPeople_Manage-master\src\views\info.vue", "vue", 0, 9, 0, 0, 2, 11
"d:\desktop\SchoolPeople_Manage-master\src\views\management\mobile_worker.vue", "vue", 0, 179, 0, 1, 12, 192
"d:\desktop\SchoolPeople_Manage-master\src\views\management\student.vue", "vue", 0, 179, 0, 1, 12, 192
"d:\desktop\SchoolPeople_Manage-master\src\views\management\stuff.vue", "vue", 0, 179, 0, 1, 12, 192
"d:\desktop\SchoolPeople_Manage-master\src\views\management\teacher.vue", "vue", 0, 179, 0, 1, 12, 192
"d:\desktop\SchoolPeople_Manage-master\src\views\markdown.vue", "vue", 0, -19, 0, 0, -3, -22
"d:\desktop\SchoolPeople_Manage-master\src\views\table.vue", "vue", 0, -179, 0, -1, -12, -192
"d:\desktop\SchoolPeople_Manage-master\src\views\upload.vue", "vue", 0, -72, 0, 0, -5, -77
"d:\desktop\SchoolPeople_Manage-master\文字资料\数据库定义.md", "Markdown", 64, 0, 0, 0, 14, 78
"Total", "-", 25, 422, -5, 3, 30, 475
