"filename", "language", "HTML", "TypeScript", "JSON", "JSON with Comments", "Markdown", "vue", "JavaScript", "CSS", "comment", "blank", "total"
"d:\desktop\SchoolPeople_Manage\README.md", "Markdown", 0, 0, 0, 0, 65, 0, 0, 0, 0, 18, 83
"d:\desktop\SchoolPeople_Manage\README_EN.md", "Markdown", 0, 0, 0, 0, 93, 0, 0, 0, 0, 27, 120
"d:\desktop\SchoolPeople_Manage\auto-imports.d.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 1, 2, 6
"d:\desktop\SchoolPeople_Manage\components.d.ts", "TypeScript", 0, 55, 0, 0, 0, 0, 0, 0, 3, 3, 61
"d:\desktop\SchoolPeople_Manage\index.html", "HTML", 18, 0, 0, 0, 0, 0, 0, 0, 1, 3, 22
"d:\desktop\SchoolPeople_Manage\package-lock.json", "JSON", 0, 0, 3162, 0, 0, 0, 0, 0, 0, 1, 3163
"d:\desktop\SchoolPeople_Manage\package.json", "JSON", 0, 0, 38, 0, 0, 0, 0, 0, 0, 1, 39
"d:\desktop\SchoolPeople_Manage\public\table.json", "JSON", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 40
"d:\desktop\SchoolPeople_Manage\public\type_distribute.json", "JSON", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 31
"d:\desktop\SchoolPeople_Manage\src\App.vue", "vue", 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 9
"d:\desktop\SchoolPeople_Manage\src\api\index.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 0, 2, 5, 38
"d:\desktop\SchoolPeople_Manage\src\assets\css\color-dark.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 28
"d:\desktop\SchoolPeople_Manage\src\assets\css\icon.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"d:\desktop\SchoolPeople_Manage\src\assets\css\main.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 160, 4, 37, 201
"d:\desktop\SchoolPeople_Manage\src\calc\average.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 9, 1, 13
"d:\desktop\SchoolPeople_Manage\src\calc\frequency.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 9, 1, 13
